cause,effect,opt_lag,F_stat,df1,df2,p_value,sig
ext_temp,ext_humi,28,2.320540457802704,28,5632,9.727562452710448e-5,***
ext_humi,ext_temp,28,4.703401356410495,28,5632,3.552713678800501e-15,***
ext_temp,so2,30,11.361559646321933,30,5620,0,***
so2,ext_temp,30,1.5832184047256852,30,5620,0.022659707353517078,*
ext_temp,no2,28,6.971254113118874,28,5632,0,***
no2,ext_temp,28,1.1883676128616298,28,5632,0.22655706858162783, 
ext_temp,pm10,28,1.6309223548203928,28,5632,0.01922454164361964,*
pm10,ext_temp,28,1.2077136364190935,28,5632,0.20778474166972427, 
ext_temp,pm25,28,1.3670675192441006,28,5632,0.09400981749420145,.
pm25,ext_temp,28,1.2317456378300027,28,5632,0.18604289850482614, 
ext_humi,so2,28,11.978775883886494,28,5632,0,***
so2,ext_humi,28,1.3410743933923044,28,5632,0.10799750427155119, 
ext_humi,no2,28,9.105648877182663,28,5632,0,***
no2,ext_humi,28,1.3947487565115446,28,5632,0.08079546458769116,.
ext_humi,pm10,26,1.7174167497929997,26,5644,0.013110353892807458,*
pm10,ext_humi,26,1.5566473889955756,26,5644,0.0355107405540368,*
ext_humi,pm25,26,1.4782629341359699,26,5644,0.0557402677692721,.
pm25,ext_humi,26,1.4777285186762368,26,5644,0.055907118837339564,.
so2,no2,28,1.1265495918656647,28,5632,0.2941439168886677, 
no2,so2,28,4.688264418468708,28,5632,4.218847493575595e-15,***
so2,pm10,27,1.785147941472415,27,5638,0.0074822888762695605,**
pm10,so2,27,0.8936563042297784,27,5638,0.6230634926397807, 
so2,pm25,27,2.285715830166834,27,5638,1.6641156396079992e-4,***
pm25,so2,27,1.020021715770497,27,5638,0.43526760292848854, 
no2,pm10,28,2.4716407317058797,28,5632,2.6115514988211963e-5,***
pm10,no2,28,1.2314827071566417,28,5632,0.18627139950920368, 
no2,pm25,28,2.1769575061664295,28,5632,3.2472123528193286e-4,***
pm25,no2,28,1.3165120957654775,28,5632,0.12272608594369205, 
pm10,pm25,23,7.803065471757185,23,5662,0,***
pm25,pm10,23,4.3638143509653,23,5662,1.6034173988543898e-11,***
